name,count
"01 Expert Systems, LLC",1
101 Therapeutics,1
"10xBio, LLC",2
11 Heath and Technologies Limited,2
"1200 Pharma, LLC",2
16 Bit Inc.,1
"1800 Contacts, Inc.",1
"1EQ, Inc.",1
1Globe Health Institute LLC,2
1QB Information Technologies Inc.,2
"1ST Biotherapeutics, Inc.",1
20/10 Perfect Vision,1
20Lighter,2
22EON,1
"22nd Century Group, Inc.",3
"22nd Century Limited, LLC",1
"23andMe, Inc.",8
270Surgical,2
2A Pharma AB,1
2ConduCT,1
2C Tech Corp,1
2gether,1
2seventy bio,2
3-C Institute for Social Development,10
3DBio Therapeutics,1
3-D Matrix Europe SAS,5
3D Medicines,5
"3D Medicines (Beijing) Co., Ltd.",3
"3D Medicines (Sichuan) Co., Ltd.",9
3D Metal Printing Ltd,2
3DRPD Inc.,1
3E Therapeutics Corporation,1
3ive Labs,1
3M,96
3M ESPE,3
3M Pharmaceuticals Pty Limited,1
3NT Medical Ltd.,3
3Spine,1
41Hemiverse AG,1
480 Biomedical,2
"4C Medical Technologies, Inc.",1
4D Molecular Therapeutics,6
4D pharma plc,8
"4Life Research, LLC",3
4Pharma Ltd.,5
4SC AG,15
4Tech Cardio Ltd.,3
57GGardner,1
"5i Sciences, Inc.",1
60 Degrees Pharmaceuticals LLC,3
6Degrees LTD,1
7D Surgical Inc.,2
"7 Hills Pharma, LLC",1
7TM Pharma A/S,1
"880 Medical, LLC",1
"89bio, Inc.",4
9305-9954 Quebec Inc,2
"9 Meters Biopharma, Inc.",10
9zest. Inc.,1
A2 Biotherapeutics Inc.,1
A2 Healthcare Taiwan Corporation,9
a2 Milk Company Ltd.,6
Aachen Resonance GmbH,2
"Aadi Bioscience, Inc.",4
"Aadi, LLC",9
A+A Healthcare Marketing Research,1
AAIPharma,3
aap Implantate AG,1
Aardex Pharmionic,1
Aardvark Medical Company,1
"Aardvark Therapeutics, Inc.",3
Aarelab AG,1
Aaren Scientific Inc.,1
Aatru Medical LLC,1
AB2 Bio Ltd.,3
Ab.Acus Srl,1
Abbell AB,1
AB Biotek,1
"AB Biotics, SA",19
"Abbisko Therapeutics Co, Ltd",7
Abbott,719
Abbott Biologicals,6
Abbott Diabetes Care,56
Abbott Diagnostics Division,19
"Abbott Japan Co.,Ltd",10
Abbott Medical Devices,591
Abbott Medical Optics,45
Abbott Molecular,3
Abbott Nutrition,155
Abbott Point of Care,8
Abbott Products,11
Abbott Rapid Diagnostics Jena GmbH,2
Abbott Rapid Dx,2
Abbott Research Group,1
Abbott (Ukraine),1
AbbVie,773
"AbbVie (prior sponsor, Abbott)",227
AbCellera Biologics Inc.,6
Abcentra,1
AbClon,1
"Abcuro, Inc.",1
Abdi Ibrahim Ilac San. ve Tic A.S.,9
Abdi İbrahim Otsuka,1
"Abela Pharmaceuticals, Inc.",1
"Abeona Therapeutics, Inc",10
ABEYE,1
"Abfero Pharmaceuticals, Inc",2
ABF Pharmaceutical Services GmbH,2
Abgenix,3
AbGenomics B.V Taiwan Branch,7
"Abiant, Inc.",1
Abide Therapeutics,6
Abies Labs d.o.o.,1
ABIGO Medical AB,1
AbiliTech Medical Inc.,2
Ability Pharmaceuticals SL,4
"Ability Prosthetics and Orthotics, Inc.",1
Abiogen Pharma,3
Abiomed Inc.,32
Abionic SA,7
Abion Inc,2
Abivax S.A.,18
ABK Biomedical,1
AblaCare,2
"Ablacon, Inc.",1
"Ablative Solutions, Inc.",4
"ABL Bio, Inc.",4
ABLE Human Motion S.L.,2
Abliva AB,2
Ably Medical AS,1
Ablynx,25
Ab Medica Spa,1
"ABM Therapeutics, Inc.",1
Abnoba Gmbh,4
Abnoba Korea,1
Aboca Spa Societa' Agricola,15
Abogen Biosciences Co. Ltd.,1
"AboutSkin Dermatology and DermSurgery, PC",1
"Abrexa Pharmaceuticals, Inc.",1
AB Science,35
Abt Associates,10
Abvance Therapeutics,1
AbViro LLC,1
ABX advanced biochemical compounds GmbH,4
"Abyrx, Inc.",2
Abyss Ingredients,3
Acacia Pharma Ltd,17
Academic Pediatric Association,11
Academic Thoracic Oncology Medical Investigators Consortium,5
Academy for Educational Development,1
"Academy Military Medical Science, China",16
ACADIA Pharmaceuticals Inc.,37
Acandis GmbH,6
Acanthas Pharma Inc,1
Acarix,5
Acasti Pharma Inc.,4
Accel Clinical Services,1
Accelerated Care Plus,2
"Accelerate Diagnostics, Inc.",7
Acceleron Pharma Inc.,33
Accelovance,16
Accelsiors CRO & Consultancy Services,1
Accendatech USA Inc.,1
Accentia Biopharmaceuticals,1
Accenture,7
Access Business Group,12
"AccessClosure, Inc.",1
"Access Pharmaceuticals, Inc.",4
Access Vascular Inc,3
Accexible,2
Acclarent,23
"Accord Healthcare, Inc.",2
Accovion GmbH,5
Accriva Diagnostics,5
"Accuitis, Inc.",1
"Accumetrics, Inc.",8
Accunea Ltd.,2
Accuray Incorporated,10
Accure Therapeutics,2
Accutar Biotechnology Inc,2
Accutest Research Laboratories (I) Pvt. Ltd.,4
"Acea Bio (Hangzhou) Co., Ltd.",3
"ACEA Therapeutics, Inc.",3
Ace Cells Lab Limited,1
"AceLink Therapeutics, Inc.",1
"AcelRx Pharmaceuticals, Inc.",17
ACELYRIN Inc.,2
Acepodia Biotech Inc.,1
"Acera Surgical, Inc.",6
Acer Being Health Inc.,1
Acerta Pharma BV,46
Acer Therapeutics Inc.,1
ACE Running LLC,1
Acerus Biopharma Inc.,1
Acerus Pharmaceuticals Corporation,12
Acesion Pharma,1
"Acessa Health, Inc.",5
"ACE Surgical Supply, Inc.",2
AceTech,2
Acetylon Pharmaceuticals Incorporated,4
"ACE Vision Group, Inc.",4
"Achaogen, Inc.",12
Aché Laboratórios Farmacêuticos Ltda,2
Ache Laboratorios Farmaceuticos S.A.,31
Achelios Therapeutics,1
"ACH Food Companies, Inc.",2
Achieve Life Sciences,31
Achiko AG,1
Achilles Therapeutics UK Limited,4
"Achillion, a wholly owned subsidiary of Alexion",20
Achros Health Technologies Corporation,1
"Aciex Therapeutics, Inc.",8
AC Immune SA,4
Acist Medical Systems,7
"Aclaris Therapeutics, Inc.",29
ACM Pivotal Global Central Laboratory,3
ACO Hud Nordic AB,4
"Acologix, Inc.",2
Acorda Therapeutics,55
"Acorn Cardiovascular, Inc.",1
"Acotec Scientific Co., Ltd",15
"ACR Biologics, LLC",1
Acrobio Healthcare Inc.,2
ACRO Biomedical Co. Ltd,1
acromion GmbH,3
Acronet,1
"Across Co., Ltd.",2
Acrostak,1
Acrotech Biopharma LLC,28
Acrux DDS Pty Ltd,4
